Startdatum,Enddatum,Ort,Anzahl der Waldbrände,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar
2011-01-01,2011-01-31,Brandenburg,0,4,31,0.6806451612903226,18.141935483870967,1.4677419354838708,94.90322580645162,1030796
2011-01-01,2011-01-31,Bremen,0,4,31,1.3064516129032258,19.4483870967742,1.6903225806451616,94.48387096774194,461
2011-01-01,2011-01-31,Hamburg,0,4,31,0.7903225806451609,19.41612903225806,1.505483870967742,94.87096774193547,4016
2011-01-01,2011-01-31,Hessen,0,4,31,0.7322580645161291,13.067741935483872,2.5261290322580643,91.83870967741936,839306
2011-01-01,2011-01-31,Mecklenburg-Vorpommern,0,4,31,0.4032258064516129,21.564516129032267,1.4612903225806455,95.58064516129032,490225
2011-01-01,2011-01-31,Niedersachsen,0,4,31,0.7000000000000002,19.40967741935484,1.493225806451613,95.16129032258064,1014470
2011-01-01,2011-01-31,Nordrhein-Westfalen,0,4,31,1.7129032258064516,19.193548387096783,2.617419354838709,93.87096774193547,849507
2011-01-01,2011-01-31,Rheinland-Pfalz,0,4,31,0.9161290322580644,15.541935483870963,2.5661290322580648,93.51612903225806,805440
2011-01-01,2011-01-31,Saarland,0,4,31,0.6612903225806451,16.025806451612905,2.7674193548387094,94.06451612903226,85623
2011-01-01,2011-01-31,Sachsen,0,4,31,-0.8193548387096775,17.277419354838713,1.9322580645161287,95.48387096774194,495184
2011-01-01,2011-01-31,Sachsen-Anhalt,0,4,31,0.5999999999999999,18.48387096774193,1.509677419354839,94.5483870967742,456545
2011-01-01,2011-01-31,Schleswig-Holstein,0,4,31,0.5387096774193547,21.51290322580645,1.5361290322580643,94.61290322580643,162014
2011-01-01,2011-01-31,Thuringen,0,4,31,-0.4741935483870967,15.912903225806454,1.141935483870968,95.51612903225806,527936
2011-02-01,2011-02-28,Baden-Wurttemberg,1,4,28,2.2071428571428573,12.057142857142855,1.0,86.32142857142857,1352564
2011-02-01,2011-02-28,Bayern,1,4,28,-2.4178571428571423,11.278571428571428,1.0285714285714287,89.10714285714286,2487176
2011-02-01,2011-02-28,Berlin,0,4,28,-0.817857142857143,17.782142857142855,0.8,83.0,15752
2011-02-01,2011-02-28,Brandenburg,0,4,28,-0.35,20.42857142857144,0.7357142857142858,82.85714285714286,1030796
2011-02-01,2011-02-28,Bremen,0,4,28,1.432142857142857,23.892857142857142,1.3285714285714287,85.28571428571429,461
2011-02-01,2011-02-28,Hamburg,0,4,28,0.0142857142857146,24.95,2.565,89.92857142857143,4016
2011-02-01,2011-02-28,Hessen,0,4,28,2.360714285714286,11.085714285714287,1.1785714285714286,84.85714285714286,839306
