Startdatum,Enddatum,Ort,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar,Anzahl der Waldbrände
2010-05-01,2010-05-31,Hamburg,1,31,9.7,18.4,3.0,81.9,4016,0
2020-10-01,2020-10-31,Sachsen,3,31,10.5,17.6,3.6,80.8,495184,1
2022-12-01,2022-12-31,Bayern,4,31,-0.0,8.4,2.9,87.0,2492436,0
2014-02-01,2014-02-28,Hamburg,4,28,4.3,23.6,1.7,86.5,4016,0
2013-03-01,2013-03-31,Brandenburg,1,31,-1.5,18.2,1.1,90.0,1030796,0
2011-03-01,2011-03-31,Mecklenburg-Vorpommern,1,31,3.4,21.6,0.7,81.8,490225,1
2017-12-01,2017-12-31,Bayern,4,31,-2.5,11.1,5.1,87.1,2487176,0
2018-06-01,2018-06-30,Bayern,2,30,16.2,8.9,6.1,83.4,2487176,14
2017-12-01,2017-12-31,Niedersachsen,4,31,3.5,19.5,1.9,87.4,1014470,0
2022-10-01,2022-10-31,Saarland,3,31,12.9,13.1,4.2,82.8,87481,0
2012-04-01,2012-04-30,Niedersachsen,1,30,7.4,18.5,1.5,81.0,1014470,9
2013-04-01,2013-04-30,Niedersachsen,1,30,7.1,18.4,0.9,81.0,1014470,25
2020-04-01,2020-04-30,Niedersachsen,1,30,9.3,15.4,0.6,67.3,1014470,67
2016-07-01,2016-07-31,Saarland,2,31,17.5,15.6,1.4,81.4,85623,0
2020-05-01,2020-05-31,Mecklenburg-Vorpommern,1,31,10.8,23.0,0.9,78.9,490225,11
2012-04-01,2012-04-30,Saarland,1,30,7.3,17.5,3.7,78.9,85623,0
2016-08-01,2016-08-31,Bremen,2,31,17.5,18.7,1.3,78.5,461,0
2011-06-01,2011-06-30,Mecklenburg-Vorpommern,2,30,16.0,18.2,3.4,82.4,490225,6
2022-06-01,2022-06-30,Baden-Wurttemberg,2,30,20.0,12.9,2.7,71.0,1353043,13
2017-09-01,2017-09-30,Nordrhein-Westfalen,3,30,14.9,15.8,3.6,72.3,849507,2
2011-11-01,2011-11-30,Thuringen,3,30,3.3,11.4,0.0,84.2,527936,0
2022-07-01,2022-07-31,Sachsen-Anhalt,2,31,20.4,18.1,1.3,54.5,460769,39
2022-04-01,2022-04-30,Sachsen,1,30,7.2,19.5,1.6,72.6,494914,11
2012-07-01,2012-07-31,Hessen,2,31,17.7,13.2,2.7,83.8,839306,2
2020-02-01,2020-02-29,Mecklenburg-Vorpommern,4,29,4.8,36.1,3.1,82.9,490225,0
2012-01-01,2012-01-31,Brandenburg,4,31,1.2,25.1,2.6,86.5,1030796,1
2021-12-01,2021-12-31,Rheinland-Pfalz,4,31,3.8,18.1,3.2,90.5,807783,0
2022-12-01,2022-12-31,Thuringen,4,31,0.7,17.0,1.7,88.6,540752,0
2014-10-01,2014-10-31,Bremen,3,31,12.7,17.7,2.5,86.7,461,0
2021-10-01,2021-10-31,Hamburg,3,31,11.0,18.4,2.3,78.3,4270,0
2012-04-01,2012-04-30,Hessen,1,30,8.5,14.9,2.2,79.6,839306,9
2021-06-01,2021-06-30,Baden-Wurttemberg,2,30,19.4,10.8,5.2,77.4,1353043,4
2019-01-01,2019-01-31,Mecklenburg-Vorpommern,4,31,2.0,30.0,1.6,82.4,490225,0
2013-12-01,2013-12-31,Brandenburg,4,31,3.8,22.9,1.2,85.6,1030796,0
2017-02-01,2017-02-28,Schleswig-Holstein,4,28,2.6,26.2,2.4,87.7,162014,0
2015-09-01,2015-09-30,Schleswig-Holstein,3,30,13.5,20.6,2.6,80.6,162014,0
2018-06-01,2018-06-30,Mecklenburg-Vorpommern,2,30,17.1,21.0,0.8,79.6,490225,11
2010-10-01,2010-10-31,Hamburg,3,31,8.9,18.5,1.3,88.5,4016,0
2016-02-01,2016-02-29,Rheinland-Pfalz,4,29,3.9,23.8,4.1,86.5,805440,0
2014-10-01,2014-10-31,Schleswig-Holstein,3,31,12.6,20.2,2.7,88.5,162014,0
2012-09-01,2012-09-30,Hessen,3,30,14.5,12.0,2.7,79.8,839306,2
2021-03-01,2021-03-31,Thuringen,1,31,4.3,17.7,1.1,77.3,540752,0
2021-05-01,2021-05-31,Hamburg,1,31,10.2,19.2,3.9,82.0,4270,0
2017-08-01,2017-08-31,Niedersachsen,2,31,17.6,15.6,2.4,75.8,1014470,1
2018-11-01,2018-11-30,Bremen,3,30,6.0,18.7,1.1,83.8,461,0
2012-09-01,2012-09-30,Nordrhein-Westfalen,3,30,13.9,16.0,1.5,80.2,849507,7
2012-12-01,2012-12-31,Hamburg,4,31,0.7,23.6,3.2,92.7,4016,0
2010-11-01,2010-11-30,Brandenburg,3,30,4.4,17.9,3.6,94.2,1030796,0
2012-02-01,2012-02-29,Niedersachsen,4,1,-1.3,22.0,0.8,90.6,1014470,0
2015-11-01,2015-11-30,Schleswig-Holstein,3,30,8.3,30.9,4.8,86.1,162014,0
2017-02-01,2017-02-28,Bayern,4,28,-0.3,10.5,2.8,91.4,2487176,3
2020-03-01,2020-03-31,Rheinland-Pfalz,1,31,5.6,22.1,2.7,76.6,805440,0
2014-03-01,2014-03-31,Bayern,1,31,4.9,11.9,2.3,78.9,2487176,8
2016-03-01,2016-03-31,Bayern,1,31,1.5,10.5,3.0,88.5,2487176,0
2012-08-01,2012-08-31,Sachsen,2,31,19.1,13.4,2.0,71.9,495184,15
2017-12-01,2017-12-31,Nordrhein-Westfalen,4,31,4.2,21.7,3.6,86.3,849507,0
2010-04-01,2010-04-30,Bayern,1,30,6.9,13.3,1.9,83.0,2487176,23
2010-05-01,2010-05-31,Brandenburg,1,31,11.1,16.0,3.5,79.7,1030796,4
2016-08-01,2016-08-31,Baden-Wurttemberg,2,31,19.7,12.3,1.1,74.2,1352564,9
2017-01-01,2017-01-31,Hamburg,4,31,0.2,18.8,1.6,86.7,4016,0
2019-05-01,2019-05-31,Rheinland-Pfalz,1,31,11.2,14.8,2.7,79.8,805440,1
2010-04-01,2010-04-30,Baden-Wurttemberg,1,30,9.6,14.8,0.8,73.4,1352564,7
2015-02-01,2015-02-28,Sachsen,4,28,0.6,17.8,0.3,84.1,495184,1
2019-11-01,2019-11-30,Rheinland-Pfalz,3,30,5.3,18.0,2.9,89.2,805440,0
2013-12-01,2013-12-31,Sachsen,4,31,2.5,21.4,1.2,83.8,495184,0
2017-01-01,2017-01-31,Niedersachsen,4,31,-0.7,18.6,1.7,89.2,1014470,0
2010-08-01,2010-08-31,Sachsen,2,31,17.5,14.3,8.7,82.3,495184,1
